"","car_park_no","address","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","longtitude","latitude"
"1","ACB","BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,1.8,"Y",103.854118049931,1.3010632720875
"2","ACM","BLK 98A ALJUNIED CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",5,2.1,"N",103.885060947615,1.32100429010596
"3","AH1","BLK 101 JALAN DUSUN","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.844619889146,1.32828349510941
"4","AK19","BLOCK 253 ANG MO KIO STREET 21","SURFACE CAR PARK","COUPON PARKING","7AM-7PM","NO","NO",0,0,"N",103.834984850341,1.36909121614356
"5","AK31","BLK 302/348 ANG MO KIO STREET 31","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO",0,0,"N",103.846635631616,1.36612042431733
"6","AK52","BLK 513 ANG MO KIO STREET 53","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES",0,0,"N",103.850295697425,1.37243863344225
"7","AK83","BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO",0,0,"N",103.863845113107,1.37667820868216
"8","AK9","ANG MO KIO AVENUE 9","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO",0,0,"N",103.848368086653,1.38359905765514
"9","AM14","BLK 227 ANG MO KIO STREET 23","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",6,2.15,"N",103.840301102652,1.36874109455501
"10","AM16","BLK 256A ANG MO KIO STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.835718285157,1.37034980121361
"11","AM18","BLK 308C ANG MO KIO AVENUE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",3,2.15,"N",103.844619390219,1.36554001278626
"12","AM19","BLK 260 ANG MO KIO STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.834531023822,1.36888619793395
"13","AM20","BLK 309B ANG MO KIO STREET 31","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.846088586118,1.36469773293712
"14","AM22","BLK 316B ANG MO KIO STREET 31","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.847653026352,1.36458829147513
"15","AM32","BLK 255A ANG MO KIO STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.834376815543,1.37053252446107
"16","AM43","BLK 455 ANG MO KIO STREET 44","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.857303546667,1.36861071867199
"17","AM46","BLK 588 ANG MO KIO STREET 52","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",5,2.15,"N",103.853396384416,1.3721783233234
"18","AM51","BLK 700 ANG MO KIO AVENUE 6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.846698516497,1.36991500171885
"19","AM64","BLK 590 ANG MO KIO STREET 51","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.853098246057,1.37145702029469
"20","AM79","BLK 596 ANG MO KIO STREET 52","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.851327945648,1.37232822920642
"21","AM80","BLK 130A ANG MO KIO STREET 12","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",4,2.15,"N",103.841861490483,1.37064699017156
"22","AM81","BLK 132A ANG MO KIO STREET 12","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",4,2.15,"N",103.841947812524,1.37163924205587
"23","AM96","BLK 352A ANG MO KIO STREET 32","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.850940371229,1.36407414927882
"24","AR1L","3 AND 5 DOVER ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,4.5,"N",103.782631779203,1.30387671852446
"25","AR1M","BLK 2A DOVER ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2.15,"N",103.783666774323,1.30284868402082
"26","AR2L","BLK 26 AND 27 DOVER CRESCENT","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.781154655174,1.30591323446221
"27","AR2M","BLK 28 DOVER CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",16,2.15,"N",103.781674489325,1.30473889283041
"28","AR5M","BLK 19A DOVER CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.784463330084,1.3073435265932
"29","AR7L","12 TO 14 DOVER CLOSE EAST","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.78559113657,1.30580772056187
"30","AR7M","BLK 12A DOVER CLOSE EAST","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.785192003839,1.30477137726805
"31","AR9","BLK 20/22/23 DOVER CRESCENT","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.783439640595,1.30728436270957
"32","AV1","BLK 120/120A/121-127 ALEXANDRA VILLAGE","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.803215264159,1.28558255499231
"33","AV2","BLK 1001/1010 BUKIT MERAH LANE 1/3","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES",0,0,"N",103.805837442388,1.28491128562143
"34","A1","BLK 215 ANG MO KIO STREET 22","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.841712811912,1.3667143987757
"35","A10","BLK 201/202 ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.844524015177,1.36863298161408
"36","A100","BLK 650 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.842602544842,1.37798747319494
"37","A11","BLK 223/226/226A-226D ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.838181096851,1.36703553385711
"38","A12","BLK 229/230 ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.838759320664,1.36856788747976
"39","A13","BLK 232/233 ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.836809611886,1.36800022165129
"40","A15","BLK 226E-226H ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.84041745597,1.36696761050685
"41","A2","BLK 206/207 ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.8430463972,1.36623705577412
"42","A20","BLK 304/307/319 ANG MO KIO STREET 31","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.848457091821,1.36494338064154
"43","A21","BLK 325/326/301 ANG MO KIO STREET 31","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.846313224171,1.36812755861892
"44","A23","BLK 347A ANG MO KIO AVENUE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.848913340117,1.36733546645361
"45","A24","BLK 338/340 ANG MO KIO STREET 32","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.849397652774,1.3647534118811
"46","A25","BLK 330/337 ANG MO KIO AVENUE 8","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.851627489277,1.36276930742852
"47","A26","BLK 113/114/118 ANG MO KIO AVENUE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.835447564147,1.372770202219
"48","A27","BLK 108/109/110 ANG MO KIO STREET 11","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.83832065154,1.37036305154677
"49","A28","BLK 103/105/107 ANG MO KIO STREET 11","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.837464288149,1.37164992828138
"50","A29","BLK 347 ANG MO KIO AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.848715596645,1.36722625942018
"51","A30","BLK 129/134 ANG MO KIO STREET 12","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.842418972198,1.37098974668814
"52","A30A","BLK 133 ANG MO KIO STREET 12","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.842750519342,1.37021884268696
"53","A31","BLK 119/128 ANG MO KIO STREET 12","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.843699944533,1.37045111927825
"54","A31A","BLK 125/126 ANG MO KIO STREET 12","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.843658166135,1.37185934032305
"55","A33","BLK 253/254 ANG MO KIO STREET 21","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.83469194577,1.37002101134144
"56","A34","BLK 422/425 ANG MO KIO STREET 42","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.851667374101,1.36835647321903
"57","A35","BLK 426/428/435 ANG MO KIO STREET 43","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.854081474113,1.36864639260533
"58","A36","BLK 436/443/445 ANG MO KIO STREET 43","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.85527878733,1.36640712809735
"59","A37","BLK 446/449/453 ANG MO KIO STREET 43","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.855556550701,1.36811306848692
"60","A38","BLK 407/410/421 ANG MO KIO AVENUE 10","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.854588382711,1.36396370580403
"61","A39","BLK 401/405 ANG MO KIO AVENUE 10","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.854072154634,1.36115102165868
"62","A4","BLK 217/220 ANG MO KIO AVENUE 1","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.841192165018,1.36569162058714
"63","A40","BLK 471/476 ANG MO KIO STREET 44","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,9.99,"N",103.856982085985,1.36235615053786
"64","A41","BLK 466/470 ANG MO KIO STREET 44","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.85693260005,1.3649369353058
"65","A42","BLK 461/465 ANG MO KIO STREET 44","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.857363892393,1.36658018162896
"66","A43","BLK 457/458/460 ANG MO KIO STREET 44","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.859267271976,1.36599673554933
"67","A44","BLK 459/456 ANG MO KIO STREET 44","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.858990508529,1.36720574327323
"68","A45","BLK 570/578 ANG MO KIO STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.85523049601,1.37091769306747
"69","A47","BLK 562/565/560 ANG MO KIO STREET 54","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.859246608911,1.37055816705134
"70","A48","BLK 571/73 ANG MO KIO STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.85465226093,1.37037128145781
"71","A49","BLK 555/559 ANG MO KIO STREET 54","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.857797087664,1.37132960595493
"72","A50","BLK 548/552/556 ANG MO KIO STREET 54","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.857609567953,1.37252246424225
"73","A51","BLK 252/253A ANG MO KIO STREET 21","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,5.4,"N",103.834375345023,1.36947073929344
"74","A52","BLK 701/716 ANG MO KIO AVENUE 3/6","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.846922547118,1.37038543265126
"75","A52L","BLK 700B/ 700C ANG MO KIO AVENUE 3/6","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,4.5,"N",103.846134335839,1.36928063398219
"76","A53","BLK 712A ANG MO KIO AVENUE 3/6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,1.8,"N",103.846877308582,1.37086502270012
"77","A54","BLK 727/728 ANG MO KIO AVENUE 6","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.845915354585,1.37243435950978
"78","A55","BLK 729/730 ANG MO KIO AVENUE 6/8","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.846474857742,1.37319177419485
"79","A56","BLK 725/730 ANG MO KIO AVENUE 8","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.847146218183,1.37269867573371
"80","A57","BLK 720/723 ANG MO KIO AVENUE 8","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.84696416467,1.37201961047575
"81","A58","BLK 721/722 ANG MO KIO AVENUE 8","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.847724114309,1.37234700755733
"82","A59","BLK 547/551 ANG MO KIO STREET 54","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,3.8,"N",103.858139784101,1.37389622141273
"83","A60","BLK 540/546 ANG MO KIO STREET 54","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.85591341875,1.37446449543798
"84","A61","BLK 520/534/529 ANG MO KIO AVENUE 5/10","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,9.99,"N",103.852160015472,1.37417044612362
"85","A63","BLK 501/513/508 ANG MO KIO STREET 52/53","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.849399082006,1.37521713052952
"86","A64","BLK 584/586 ANG MO KIO STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.853461797452,1.37053486870123
"87","A65","BLK 558/560 ANG MO KIO STREET 54","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.859417207625,1.37102915896012
"88","A66","BLK 601/604/603 ANG MO KIO AVENUE 5","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.835660622978,1.38054493090841
"89","A67","BLK 605/612 ANG MO KIO AVENUE 4/5","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.837804889389,1.37968632444614
"90","A68","BLK 620/624/626 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.839854214827,1.38189761856602
"91","A69","BLK 623/625/627 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.841945435749,1.38164145794217
"92","A7","BLK 212/213 ANG MO KIO STREET 23","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.841301754388,1.36839248702169
"93","A70","BLK 629/626 ANG MO KIO AVENUE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,9.99,"N",103.840107206763,1.38062064114195
"94","A71","BLK 628/632 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.840741896718,1.38000909369531
"95","A72","BLK 633/640 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.843530338174,1.38076096265734
"96","A73","BLK 641/645 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.840824696696,1.37884818913779
"97","A74","BLK 646/649 ANG MO KIO STREET 61","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.843804663726,1.37865168028374
"98","A75","BLK 177/182 ANG MO KIO AVENUE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.838684557747,1.37620217806234
"99","A76","BLK 613A ANG MO KIO AVENUE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",9,2,"N",103.838834804975,1.3779771118917
"100","A77","BLK 150/156 ANG MO KIO AVENUE 5","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,9.99,"N",103.839978570299,1.37635314935274
"101","A78","BLK 157/163 ANG MO KIO AVENUE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.838386790933,1.37469471114539
"102","A8","BLK 209/210 ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.843307711467,1.36875607099324
"103","A81","BLK 170/172 ANG MO KIO STREET 13","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,9.99,"N",103.836478794681,1.37435555252556
"104","A82","BLK 173/176 ANG MO KIO AVENUE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.836398652722,1.37567492239482
"105","A83","BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.860696540911,1.3743075596365
"106","A85","BLK 340 ANG MO KIO STREET 32","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.84970936856,1.36510737794777
"107","A86","BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO INDUSTRIAL PARK 1","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.85652048735,1.36188489083075
"108","A87","BLK 462/463 ANG MO KIO STREET 44","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.857884237373,1.36682635874641
"109","A88","BLK 348 ANG MO KIO AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.84726652679,1.36628071567192
"110","A89","BLK 101/102 ANG MO KIO STREET 11","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.839367845908,1.37045918304517
"111","A9","BLK 202/203 ANG MO KIO STREET 22","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.844392197805,1.36807436997814
"112","A90","BLK 625/627 ANG MO KIO STREET 61","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.841247224571,1.38200068921512
"113","A94","BLK 104C ANG MO KIO STREET 11","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.838315961401,1.37185982688332
"114","A95","BLK 323A ANG MO KIO AVENUE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.84780380928,1.36751862800778
"115","A98","BLK 259 ANG MO KIO AVENUE 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.831854209648,1.36916431059637
"116","A99","BLK 181 ANG MO KIO AVENUE 5","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.837213891968,1.37698525725515
"117","BA1","BLK 106 BIDADARI PARK DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2.15,"N",103.870826970827,1.33369540800066
"118","BA10","BLK 213 BIDADARI PARK DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",4,2.15,"N",103.872867258087,1.34293969557107
"119","BA2","BLK 117 ALKAFF CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2.15,"N",103.87325519194,1.33690457330128
"120","BA3","BLK 101 BIDADARI PARK DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.2,"N",103.871321844743,1.33627159254205
"121","BA4","BLK 113 ALKAFF CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2.15,"N",103.872948495817,1.33525925562725
"122","BA5","BLK 109 BIDADARI PARK DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2.15,"N",103.872634909833,1.33433965420042
"123","BA6","BLK 201 WOODLEIGH LINK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",5,2.15,"N",103.872185514008,1.34025348688661
"124","BA7","BLK 206 WOODLEIGH LINK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",4,2.15,"N",103.872136690312,1.34182072114384
"125","BA8","BLK 207 WOODLEIGH LINK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.871472026488,1.34176174178775
"126","BA9","BLK 212 BIDADARI PARK DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.875916184877,1.34312834505862
"127","BBB","BLK 231 BRAS BASAH BASEMENT CAR PARK","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,1.9,"Y",103.8536632064,1.29658002772562
"128","BBM1","BLK 188A BUKIT BATOK WEST AVENUE 6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.74538227425,1.34643665368639
"129","BBM2","BLK 628A BUKIT BATOK CENTRAL","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2.15,"N",103.749882248379,1.35086707070928
"130","BBM3","BLK 289H BUKIT BATOK STREET 25","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.759917770839,1.34450628322565
"131","BBM4","BLK 288H BUKIT BATOK STREET 25","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.760178963791,1.34555069828431
